"","date","state","cases","variant","status","data"
"85",2021-04-14,"W.P. Kuala Lumpur",0,"Theta P.3","voi","inc"
"86",2021-04-14,"Negeri Sembilan",0,"Beta B.1.351","voc","inc"
"87",2021-04-14,"Perak",0,"Alpha B.1.1.7","voc","inc"
"88",2021-04-14,"Perak",0,"Delta B.1.617.2","voc","inc"
"89",2021-04-14,"Perak",0,"Eta B.1.525","voi","inc"
"90",2021-04-14,"Perak",0,"Theta P.3","voi","inc"
"91",2021-04-14,"Perak",0,"Beta B.1.351","voc","inc"
"92",2021-04-14,"Kedah",0,"Alpha B.1.1.7","voc","inc"
"93",2021-04-14,"Kedah",0,"Delta B.1.617.2","voc","inc"
"94",2021-04-14,"Kedah",0,"Eta B.1.525","voi","inc"
"95",2021-04-14,"Kedah",0,"Theta P.3","voi","inc"
"96",2021-04-14,"Perlis",0,"Beta B.1.351","voc","inc"
"97",2021-04-14,"Pulau Pinang",0,"Alpha B.1.1.7","voc","inc"
"98",2021-04-14,"Pulau Pinang",0,"Delta B.1.617.2","voc","inc"
"99",2021-04-14,"Pulau Pinang",0,"Eta B.1.525","voi","inc"
"100",2021-04-14,"Pulau Pinang",0,"Theta P.3","voi","inc"
"101",2021-04-14,"Pulau Pinang",0,"Beta B.1.351","voc","inc"
"102",2021-04-14,"Negeri Sembilan",0,"Alpha B.1.1.7","voc","inc"
"103",2021-04-14,"Negeri Sembilan",0,"Delta B.1.617.2","voc","inc"
"104",2021-04-14,"Negeri Sembilan",0,"Eta B.1.525","voi","inc"
"105",2021-04-14,"Negeri Sembilan",0,"Theta P.3","voi","inc"
"106",2021-04-14,"Sabah",0,"Beta B.1.351","voc","inc"
"107",2021-04-14,"Johor",0,"Alpha B.1.1.7","voc","inc"
"108",2021-04-14,"Johor",0,"Delta B.1.617.2","voc","inc"
"109",2021-04-14,"Johor",0,"Eta B.1.525","voi","inc"
"110",2021-04-14,"Johor",0,"Theta P.3","voi","inc"
"111",2021-04-14,"Sarawak",0,"Beta B.1.351","voc","inc"
"112",2021-04-14,"Perlis",0,"Alpha B.1.1.7","voc","inc"
"113",2021-04-14,"Perlis",0,"Delta B.1.617.2","voc","inc"
"114",2021-04-14,"Perlis",0,"Eta B.1.525","voi","inc"
"115",2021-04-14,"Perlis",0,"Theta P.3","voi","inc"
"116",2021-04-14,"Selangor",13,"Beta B.1.351","voc","inc"
"117",2021-04-14,"W.P. Labuan",0,"Alpha B.1.1.7","voc","inc"
"118",2021-04-14,"W.P. Labuan",0,"Delta B.1.617.2","voc","inc"
"119",2021-04-14,"W.P. Labuan",0,"Eta B.1.525","voi","inc"
"120",2021-04-14,"W.P. Labuan",0,"Theta P.3","voi","inc"
"121",2021-04-14,"W.P. Kuala Lumpur",0,"Beta B.1.351","voc","inc"
"122",2021-04-14,"Sabah",0,"Alpha B.1.1.7","voc","inc"
"123",2021-04-14,"Sabah",0,"Delta B.1.617.2","voc","inc"
"124",2021-04-14,"Sabah",0,"Eta B.1.525","voi","inc"
"125",2021-04-14,"Sabah",0,"Theta P.3","voi","inc"
"126",2021-04-14,"W.P. Labuan",0,"Beta B.1.351","voc","inc"
"127",2021-04-14,"Malaysia",0,"Alpha B.1.1.7","voc","inc"
